postalcode;cnt;status;target;guid
121108;291;confirmed;;
121151;92;confirmed;;
121165;106;confirmed;;
121170;337;confirmed;;
121205;206;confirmed;;
121248;64;confirmed;;
121260;1;confirmed;121260;1.0
121309;375;confirmed;;
121351;622;confirmed;;
121352;173;confirmed;;
121353;219;confirmed;;
121354;229;confirmed;;
121357;582;confirmed;;
121359;241;confirmed;;
121374;117;confirmed;;
121433;271;confirmed;;
121467;163;confirmed;;
121471;864;confirmed;;
121500;607;confirmed;;
121552;338;confirmed;;
121596;323;confirmed;;
121601;84;confirmed;;
121609;410;confirmed;;
121614;173;confirmed;;
121615;52;confirmed;;
123001;372;confirmed;;
123007;597;confirmed;;
123022;372;confirmed;;
123056;239;confirmed;;
123060;439;confirmed;;
123098;694;confirmed;;
123100;251;confirmed;;
123103;932;confirmed;;
123104;167;confirmed;;
123112;36;confirmed;;
123154;330;confirmed;;
123181;177;confirmed;;
123182;324;confirmed;;
123242;351;confirmed;;
123290;495;confirmed;;
123298;302;confirmed;;
123308;795;confirmed;;
123317;277;confirmed;;
123376;165;confirmed;;
123423;464;confirmed;;
123444;1;exhausted;123444;1.0
123458;705;confirmed;;
123464;1;exhausted;123464;1.0
123557;281;confirmed;;
123592;183;confirmed;;
123610;4;confirmed;;
124305;1;exhausted;124305;1.0
124365;969;confirmed;;
124460;844;confirmed;;
124482;222;confirmed;;
124489;347;confirmed;;
124498;232;confirmed;;
124527;125;confirmed;;
124531;3;exhausted;124531;3.0
124536;97;confirmed;;
124575;230;confirmed;;
124617;129;confirmed;;
124681;1;confirmed;124681;1.0
124683;85;confirmed;;
124913;1;exhausted;124913;1.0
124921;1;exhausted;124921;1.0
125008;220;confirmed;;
125009;633;confirmed;;
125032;2;confirmed;;
125039;1;exhausted;125039;1.0
125040;284;confirmed;;
125047;399;confirmed;;
125057;130;confirmed;;
125080;364;confirmed;;
125124;232;confirmed;;
125130;501;confirmed;;
125167;610;confirmed;;
125171;306;confirmed;;
125183;190;confirmed;;
125190;1;exhausted;125190;1.0
125195;226;confirmed;;
125196;42;confirmed;;
125212;513;confirmed;;
125222;250;confirmed;;
125239;343;confirmed;;
125252;366;confirmed;;
125284;552;confirmed;;
125310;363;confirmed;;
125315;454;confirmed;;
125319;289;confirmed;;
125362;577;confirmed;;
125363;512;confirmed;;
125364;217;confirmed;;
125367;390;confirmed;;
125368;166;confirmed;;
125371;182;confirmed;;
125373;245;confirmed;;
125375;1;confirmed;125375;1.0
125412;343;confirmed;;
125413;302;confirmed;;
125414;147;confirmed;;
125424;274;confirmed;;
125430;212;confirmed;;
125438;747;confirmed;;
125445;704;confirmed;;
125459;151;confirmed;;
125464;155;confirmed;;
125466;939;confirmed;;
125475;218;confirmed;;
125476;170;confirmed;;
125480;334;confirmed;;
125481;249;confirmed;;
125493;204;confirmed;;
125499;114;confirmed;;
125502;128;confirmed;;
125565;114;confirmed;;
125581;88;confirmed;;
125599;243;confirmed;;
125635;196;confirmed;;
126424;1;exhausted;126424;1.0
126456;1;exhausted;126456;1.0
127006;455;confirmed;;
127015;432;confirmed;;
127018;589;confirmed;;
127025;1;exhausted;127025;1.0
127030;122;confirmed;;
127051;449;confirmed;;
127055;481;confirmed;;
127081;438;confirmed;;
127083;278;confirmed;;
127106;209;confirmed;;
127137;2;exhausted;127137;2.0
127185;1;confirmed;127185;1.0
127204;622;confirmed;;
127206;174;confirmed;;
127214;1;confirmed;127214;1.0
127220;109;confirmed;;
127221;138;confirmed;;
127224;175;confirmed;;
127237;1;exhausted;127237;1.0
127238;586;confirmed;;
127247;217;confirmed;;
127253;544;confirmed;;
127254;433;confirmed;;
127273;539;confirmed;;
127276;299;confirmed;;
127282;403;confirmed;;
127287;288;confirmed;;
127299;333;confirmed;;
127322;293;confirmed;;
127349;177;confirmed;;
127381;1;confirmed;127381;1.0
127410;594;confirmed;;
127411;327;confirmed;;
127422;224;confirmed;;
127427;129;confirmed;;
127434;398;confirmed;;
127473;300;confirmed;;
127474;253;confirmed;;
127486;308;confirmed;;
127490;213;confirmed;;
127495;473;confirmed;;
127521;355;confirmed;;
127540;143;confirmed;;
127543;186;confirmed;;
127549;191;confirmed;;
127550;177;exhausted;127550;177.0
127560;184;confirmed;;
127562;162;confirmed;;
127566;360;confirmed;;
127572;190;confirmed;;
127576;223;confirmed;;
127591;429;confirmed;;
127641;27;confirmed;;
127642;97;confirmed;;
127644;262;confirmed;;
129063;2;confirmed;129063;2.0
129075;290;confirmed;;
129085;281;confirmed;;
129090;625;confirmed;;
129110;520;confirmed;;
129128;420;confirmed;;
129164;165;confirmed;;
129223;333;confirmed;;
129226;549;confirmed;;
129272;127;confirmed;;
129281;229;confirmed;;
129301;253;confirmed;;
129323;341;confirmed;;
129327;281;confirmed;;
129329;224;confirmed;;
129336;285;confirmed;;
129337;535;confirmed;;
129338;175;exhausted;129338;175.0
129343;263;confirmed;;
129344;384;confirmed;;
129345;256;confirmed;;
129346;153;confirmed;;
129347;254;confirmed;;
129366;95;confirmed;;
129515;241;confirmed;;
129594;155;confirmed;;
129626;680;confirmed;;
131000;1;confirmed;131000;1.0
131018;1;exhausted;131018;1.0
131337;1;exhausted;131337;1.0
132321;1;exhausted;132321;1.0
133330;1;exhausted;133330;1.0
134560;1;exhausted;134560;1.0
140000;974;confirmed;;
140002;933;confirmed;;
140003;269;confirmed;;
140004;223;confirmed;;
140005;293;confirmed;;
140006;234;confirmed;;
140007;903;confirmed;;
140008;171;confirmed;;
140009;2269;confirmed;;
140010;320;confirmed;;
140011;650;confirmed;;
140012;6;exhausted;140012;6.0
140013;785;confirmed;;
140014;282;confirmed;;
140015;186;confirmed;;
140016;149;confirmed;;
140030;5904;confirmed;;
140032;577;confirmed;;
140033;1596;confirmed;;
140050;1122;confirmed;;
140051;959;confirmed;;
140053;637;confirmed;;
140054;449;confirmed;;
140055;337;confirmed;;
140060;993;confirmed;;
140070;875;confirmed;;
140072;1818;confirmed;;
140073;1974;confirmed;;
140074;56;confirmed;;
140077;5;exhausted;140077;5.0
140079;9;confirmed;;
140080;428;confirmed;;
140081;239;confirmed;;
140082;262;confirmed;;
140083;168;confirmed;;
140090;734;confirmed;;
140091;3;confirmed;;
140093;88;confirmed;;
140100;192;confirmed;;
140101;919;confirmed;;
140102;2516;confirmed;;
140103;1946;confirmed;;
140104;2842;confirmed;;
140105;2142;confirmed;;
140108;2081;confirmed;;
140109;821;confirmed;;
140120;1762;confirmed;;
140121;1306;confirmed;;
140123;3189;confirmed;;
140124;1869;confirmed;;
140125;6225;confirmed;;
140126;4210;confirmed;;
140127;4100;confirmed;;
140128;2980;confirmed;;
140130;6245;confirmed;;
140131;74;exhausted;140131;74.0
140133;3086;confirmed;;
140135;1019;confirmed;;
140140;2389;confirmed;;
140142;3505;confirmed;;
140143;1310;confirmed;;
140144;1337;confirmed;;
140145;5149;confirmed;;
140150;3765;confirmed;;
140152;7904;confirmed;;
140153;2452;confirmed;;
140155;5438;confirmed;;
140157;551;confirmed;;
140160;3072;confirmed;;
140162;2789;confirmed;;
140163;5366;confirmed;;
140164;1531;confirmed;;
140165;2322;confirmed;;
140166;1441;confirmed;;
140167;1697;confirmed;;
140168;1731;confirmed;;
140170;10402;confirmed;;
140171;1100;confirmed;;
140180;681;confirmed;;
140181;567;confirmed;;
140182;327;confirmed;;
140184;174;confirmed;;
140185;628;confirmed;;
140186;201;confirmed;;
140187;95;confirmed;;
140188;99;confirmed;;
140200;2542;confirmed;;
140201;1;confirmed;140201;1.0
140202;251;confirmed;;
140203;871;confirmed;;
140204;1187;confirmed;;
140205;812;confirmed;;
140206;935;confirmed;;
140207;2855;confirmed;;
140208;949;confirmed;;
140209;1172;confirmed;;
140220;3704;confirmed;;
140221;1819;confirmed;;
140222;1037;confirmed;;
140225;619;confirmed;;
140230;1783;confirmed;;
140231;2895;confirmed;;
140235;2196;confirmed;;
140237;4125;confirmed;;
140241;934;confirmed;;
140250;7629;confirmed;;
140251;3237;confirmed;;
140300;1988;confirmed;;
140301;6013;confirmed;;
140304;3741;confirmed;;
140305;1365;confirmed;;
140315;472;confirmed;;
140316;400;confirmed;;
140317;619;confirmed;;
140318;1831;confirmed;;
140320;2316;confirmed;;
140321;62;exhausted;140321;62.0
140323;703;confirmed;;
140324;1562;confirmed;;
140326;286;confirmed;;
140330;2;exhausted;140330;2.0
140331;1622;confirmed;;
140332;1782;confirmed;;
140333;1589;confirmed;;
140335;1062;confirmed;;
140341;1503;confirmed;;
140342;2061;confirmed;;
140343;1351;confirmed;;
140400;2883;confirmed;;
140401;16;confirmed;;
140402;3701;confirmed;;
140404;227;confirmed;;
140405;811;confirmed;;
140406;272;confirmed;;
140407;229;confirmed;;
140408;2187;confirmed;;
140410;323;confirmed;;
140411;4976;confirmed;;
140412;2082;confirmed;;
140413;2051;confirmed;;
140414;2255;confirmed;;
140415;3064;confirmed;;
140421;12;exhausted;140421;12.0
140422;627;confirmed;;
140450;1328;confirmed;;
140451;895;confirmed;;
140452;1497;confirmed;;
140453;2;exhausted;140453;2.0
140454;4;exhausted;140454;4.0
140471;1206;confirmed;;
140472;1311;confirmed;;
140473;1109;confirmed;;
140474;734;confirmed;;
140476;960;confirmed;;
140477;2025;confirmed;;
140478;2705;confirmed;;
140479;1633;confirmed;;
140480;1938;confirmed;;
140482;820;confirmed;;
140483;610;confirmed;;
140490;1304;confirmed;;
140491;421;confirmed;;
140492;867;confirmed;;
140495;966;confirmed;;
140499;1;exhausted;140499;1.0
140500;5647;confirmed;;
140501;2084;confirmed;;
140503;1;exhausted;140503;1.0
140512;719;confirmed;;
140513;1445;confirmed;;
140514;1251;confirmed;;
140516;1570;confirmed;;
140517;346;confirmed;;
140520;3113;confirmed;;
140530;1130;confirmed;;
140531;637;confirmed;;
140532;836;confirmed;;
140533;737;confirmed;;
140542;1438;confirmed;;
140550;959;confirmed;;
140551;747;confirmed;;
140560;3346;confirmed;;
140563;540;confirmed;;
140570;817;confirmed;;
140571;449;confirmed;;
140573;1538;confirmed;;
140574;829;confirmed;;
140575;581;confirmed;;
140576;687;confirmed;;
140577;2;exhausted;140577;2.0
140578;939;confirmed;;
140579;559;confirmed;;
140600;1315;confirmed;;
140601;1017;confirmed;;
140602;597;confirmed;;
140603;697;confirmed;;
140612;528;confirmed;;
140613;725;confirmed;;
140614;407;confirmed;;
140615;474;confirmed;;
140616;445;confirmed;;
140617;645;confirmed;;
140618;469;confirmed;;
140620;807;confirmed;;
140621;627;confirmed;;
140630;510;confirmed;;
140631;271;confirmed;;
140632;203;confirmed;;
140633;543;confirmed;;
140635;388;confirmed;;
140675;7;exhausted;140675;7.0
140700;5320;confirmed;;
140704;116;confirmed;;
140712;1714;confirmed;;
140713;405;confirmed;;
140720;1135;confirmed;;
140721;269;confirmed;;
140722;681;confirmed;;
140730;331;confirmed;;
140731;749;confirmed;;
140732;1794;confirmed;;
140740;1266;confirmed;;
140741;1948;confirmed;;
140742;2418;confirmed;;
140743;147;confirmed;;
140746;428;confirmed;;
140750;2596;confirmed;;
140751;1;exhausted;140751;1.0
140752;5;confirmed;;
140753;927;confirmed;;
140755;1479;confirmed;;
140760;1026;confirmed;;
140761;642;confirmed;;
140763;1555;confirmed;;
140764;1;exhausted;140764;1.0
140765;803;confirmed;;
141000;279;unconfirmed;;
141001;1059;confirmed;;
141002;464;confirmed;;
141004;210;confirmed;;
141005;711;confirmed;;
141006;758;confirmed;;
141007;148;confirmed;;
141008;494;confirmed;;
141009;1123;confirmed;;
141011;1023;confirmed;;
141013;180;confirmed;;
141014;1003;confirmed;;
141015;1051;confirmed;;
141016;33;confirmed;;
141017;1173;confirmed;;
141018;240;confirmed;;
141021;240;confirmed;;
141031;3887;confirmed;;
141032;4048;confirmed;;
141033;1462;confirmed;;
141034;988;confirmed;;
141035;1978;confirmed;;
141036;3483;confirmed;;
141044;3910;confirmed;;
141051;3350;confirmed;;
141052;6765;confirmed;;
141054;1220;confirmed;;
141055;1300;confirmed;;
141060;1190;confirmed;;
141062;2;exhausted;141062;2.0
141065;1725;confirmed;;
141067;131;confirmed;;
141068;353;confirmed;;
141069;1621;confirmed;;
141070;372;confirmed;;
141071;481;confirmed;;
141073;850;confirmed;;
141074;333;confirmed;;
141075;543;confirmed;;
141076;195;confirmed;;
141077;106;confirmed;;
141078;123;confirmed;;
141079;41;confirmed;;
141080;302;confirmed;;
141090;621;confirmed;;
141091;258;confirmed;;
141092;134;confirmed;;
141095;7;exhausted;141095;7.0
141100;1110;confirmed;;
141101;17;exhausted;141101;17.0
141102;618;confirmed;;
141103;728;confirmed;;
141104;668;confirmed;;
141107;1047;confirmed;;
141108;833;confirmed;;
141109;1132;confirmed;;
141110;3;exhausted;141110;3.0
141112;434;confirmed;;
141113;1028;confirmed;;
141131;1881;confirmed;;
141132;6;exhausted;141132;6.0
141133;86;exhausted;141133;86.0
141134;77;confirmed;;
141135;3547;confirmed;;
141137;402;confirmed;;
141138;1658;confirmed;;
141140;2445;confirmed;;
141142;1892;confirmed;;
141143;2289;confirmed;;
141144;61;unconfirmed;;
141146;2710;confirmed;;
141147;1775;confirmed;;
141150;2220;confirmed;;
141151;667;confirmed;;
141152;18;exhausted;141152;18.0
141160;150;confirmed;;
141170;419;confirmed;;
141171;936;confirmed;;
141180;5200;confirmed;;
141181;911;confirmed;;
141190;329;confirmed;;
141191;391;confirmed;;
141195;544;confirmed;;
141196;1828;confirmed;;
141200;63;exhausted;141200;63.0
141201;589;confirmed;;
141202;1857;confirmed;;
141204;241;confirmed;;
141205;603;confirmed;;
141206;1114;confirmed;;
141207;687;confirmed;;
141212;1186;confirmed;;
141214;2530;confirmed;;
141216;1046;confirmed;;
141217;275;confirmed;;
141220;376;confirmed;;
141221;2799;confirmed;;
141230;3668;confirmed;;
141231;807;confirmed;;
141232;1019;confirmed;;
141240;1285;confirmed;;
141241;940;confirmed;;
141250;4104;confirmed;;
141253;2727;confirmed;;
141254;3158;confirmed;;
141255;2137;confirmed;;
141260;655;confirmed;;
141261;819;confirmed;;
141270;3476;confirmed;;
141271;857;confirmed;;
141273;1175;confirmed;;
141280;2375;confirmed;;
141281;1519;confirmed;;
141282;976;confirmed;;
141284;1073;confirmed;;
141290;3474;confirmed;;
141292;388;confirmed;;
141300;515;confirmed;;
141301;820;confirmed;;
141302;1018;confirmed;;
141303;1555;confirmed;;
141304;892;confirmed;;
141305;486;confirmed;;
141306;91;confirmed;;
141307;246;confirmed;;
141308;1399;confirmed;;
141309;1185;confirmed;;
141310;1234;confirmed;;
141311;603;confirmed;;
141312;44;confirmed;;
141313;290;confirmed;;
141315;26;confirmed;;
141320;381;confirmed;;
141321;2480;confirmed;;
141323;382;confirmed;;
141324;175;confirmed;;
141325;28;exhausted;141325;28.0
141326;939;confirmed;;
141327;319;confirmed;;
141330;419;confirmed;;
141332;221;confirmed;;
141333;347;confirmed;;
141335;408;confirmed;;
141336;347;confirmed;;
141337;1471;confirmed;;
141340;496;confirmed;;
141341;257;confirmed;;
141342;833;confirmed;;
141343;115;confirmed;;
141344;4;exhausted;141344;4.0
141345;436;confirmed;;
141351;839;confirmed;;
141352;1791;confirmed;;
141354;775;confirmed;;
141355;408;confirmed;;
141357;826;confirmed;;
141361;1;exhausted;141361;1.0
141362;373;confirmed;;
141364;191;confirmed;;
141366;380;confirmed;;
141367;180;confirmed;;
141370;1120;confirmed;;
141371;1464;confirmed;;
141372;1363;confirmed;;
141400;25;exhausted;141400;25.0
141401;1911;confirmed;;
141402;2506;confirmed;;
141406;490;confirmed;;
141407;633;confirmed;;
141408;434;confirmed;;
141410;285;confirmed;;
141411;176;confirmed;;
141420;2653;confirmed;;
141421;855;confirmed;;
141425;11;confirmed;;
141426;84;confirmed;;
141431;714;confirmed;;
141432;12;exhausted;141432;12.0
141435;437;confirmed;;
141436;15;exhausted;141436;15.0
141441;2805;confirmed;;
141446;324;confirmed;;
141501;87;confirmed;;
141502;128;confirmed;;
141503;5479;confirmed;;
141504;3423;confirmed;;
141505;946;confirmed;;
141506;627;confirmed;;
141507;1551;confirmed;;
141508;1364;confirmed;;
141530;306;confirmed;;
141531;1587;confirmed;;
141532;1311;confirmed;;
141533;1581;confirmed;;
141534;2275;confirmed;;
141540;4731;confirmed;;
141542;2210;confirmed;;
141544;3700;confirmed;;
141551;1597;confirmed;;
141552;165;confirmed;;
141554;2451;confirmed;;
141555;1236;confirmed;;
141560;1633;confirmed;;
141570;1826;confirmed;;
141580;3528;confirmed;;
141590;8;exhausted;141590;8.0
141591;2128;confirmed;;
141592;442;confirmed;;
141595;1477;confirmed;;
141601;1392;confirmed;;
141602;1078;confirmed;;
141603;189;confirmed;;
141604;638;confirmed;;
141605;50;confirmed;;
141606;103;confirmed;;
141607;1463;confirmed;;
141609;49;confirmed;;
141612;229;confirmed;;
141613;339;confirmed;;
141620;916;confirmed;;
141621;1153;confirmed;;
141623;2545;confirmed;;
141624;108;confirmed;;
141625;778;confirmed;;
141631;652;confirmed;;
141632;356;confirmed;;
141633;376;confirmed;;
141640;1519;confirmed;;
141641;1616;confirmed;;
141642;825;confirmed;;
141644;1557;confirmed;;
141650;3755;confirmed;;
141651;1551;confirmed;;
141654;1450;confirmed;;
141656;1876;confirmed;;
141661;1098;confirmed;;
141662;16;exhausted;141662;16.0
141663;2814;confirmed;;
141667;686;confirmed;;
141700;253;confirmed;;
141701;552;confirmed;;
141702;266;confirmed;;
141703;211;confirmed;;
141704;118;confirmed;;
141705;575;confirmed;;
141707;487;confirmed;;
141717;4;exhausted;141717;4.0
141720;2855;confirmed;;
141727;487;confirmed;;
141730;1978;confirmed;;
141732;731;confirmed;;
141733;731;confirmed;;
141734;1487;confirmed;;
141800;5717;confirmed;;
141801;3826;confirmed;;
141802;1452;confirmed;;
141804;2091;confirmed;;
141810;34;exhausted;141810;34.0
141820;661;confirmed;;
141821;595;confirmed;;
141822;1508;confirmed;;
141823;441;confirmed;;
141825;6378;confirmed;;
141829;3386;confirmed;;
141830;1623;confirmed;;
141832;3807;confirmed;;
141833;826;confirmed;;
141834;263;confirmed;;
141835;4329;confirmed;;
141836;1538;confirmed;;
141839;1569;confirmed;;
141840;5260;confirmed;;
141850;3252;confirmed;;
141851;4830;confirmed;;
141860;1875;confirmed;;
141862;7757;confirmed;;
141863;1460;confirmed;;
141865;2363;confirmed;;
141870;1865;confirmed;;
141875;485;confirmed;;
141880;4163;confirmed;;
141890;624;confirmed;;
141891;1039;confirmed;;
141892;1246;confirmed;;
141893;1291;confirmed;;
141894;2497;confirmed;;
141895;4437;confirmed;;
141897;701;confirmed;;
141899;1213;exhausted;141899;1213.0
141900;4986;confirmed;;
141901;630;confirmed;;
141902;1;exhausted;141902;1.0
141911;26;exhausted;141911;26.0
141912;1076;confirmed;;
141915;541;confirmed;;
141916;1951;confirmed;;
141921;1280;confirmed;;
141923;1132;confirmed;;
141925;372;exhausted;141925;372.0
141930;8688;confirmed;;
141932;1137;confirmed;;
141933;1;exhausted;141933;1.0
141934;1375;confirmed;;
141950;893;confirmed;;
141960;2340;confirmed;;
141970;1971;confirmed;;
141980;1610;confirmed;;
141981;615;confirmed;;
141982;8;exhausted;141982;8.0
141983;2408;confirmed;;
